age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.05,0.3142,3.5774,0.1146,-0.9911,6.4199,5.7447,4.3868,3.835,3.3925,14.4717,9.9795,30.282,16.019
5.05,0.3511,3.5876,0.2012,-1.0299,6.0563,5.4032,4.1494,3.637,3.2069,14.0142,9.4967,30.167,15.905
5.05,0.4209,3.606,0.3414,-1.0696,5.4436,4.8431,3.756,3.3127,2.9283,12.9347,8.5878,30.202,15.415
5.05,0.4925,3.624,0.4648,-1.0193,4.891,4.3492,3.4035,3.0255,2.7031,11.5151,7.7045,28.905,14.049
5.05,0.6799,3.6534,0.7082,-1.1305,3.954,3.4944,2.7436,2.4641,2.2456,9.208,6.3442,24.294,11.512
5.05,0.8635,3.6691,0.8763,-1.3019,3.3946,2.972,2.3067,2.0763,1.9101,8.1272,5.601,21.732,10.127
5.05,1.1529,3.6843,1.0717,-1.1218,2.7894,2.4015,1.8096,1.6249,1.507,7.1176,4.8307,19.913,8.966
5.05,3.3117,3.7201,1.7588,-1.6397,0.8514,0.5434,0.1021,0.0137,-0.0025,4.4638,2.577,16.044,6.118
5.05,5.2354,3.752,2.4535,-2.3407,-1.0458,-1.2823,-1.5954,-1.6088,-1.5391,2.2059,0.5618,11.853,3.48
5.05,5.659,3.7924,2.6275,-3.0611,-1.643,-1.796,-1.9479,-1.8773,-1.7054,1.2107,-0.1005,8.507,2.142
5.05,5.8719,3.8275,2.7178,-3.306,-1.9885,-2.0763,-2.0842,-1.947,-1.6857,0.6291,-0.4159,6.234,1.402
5.05,6.0621,3.8604,2.8034,-3.3811,-2.2934,-2.3231,-2.1946,-2.0037,-1.6615,0.192,-0.6544,4.47,0.849
5.05,6.2376,3.8924,2.887,-3.4449,-2.5657,-2.5332,-2.2796,-2.0436,-1.6339,-0.1957,-0.8892,2.546,0.258
5.05,6.3999,3.9236,2.9681,-3.498,-2.7645,-2.6936,-2.3458,-2.0698,-1.6101,-0.5947,-1.1531,0.907,-0.324
5.05,6.5554,3.9546,3.0477,-3.538,-2.8945,-2.7991,-2.3898,-2.0776,-1.5878,-0.9851,-1.424,-0.157,-0.834
5.05,6.7066,3.9855,3.1252,-3.5728,-2.9796,-2.8691,-2.4203,-2.0734,-1.5651,-1.3583,-1.6969,-0.817,-1.276
5.05,6.8541,4.0164,3.1996,-3.6073,-3.0344,-2.9137,-2.437,-2.0574,-1.537,-1.6933,-1.9574,-1.282,-1.642
5.05,6.9969,4.0474,3.2699,-3.6312,-3.0652,-2.9364,-2.4363,-2.0271,-1.4976,-1.9766,-2.1828,-1.664,-1.955
5.05,7.1427,4.0787,3.3371,-3.6419,-3.0773,-2.9409,-2.4189,-1.9831,-1.4455,-2.214,-2.3675,-1.974,-2.206
5.05,7.2925,4.1105,3.3998,-3.6494,-3.069,-2.9249,-2.3814,-1.9218,-1.3765,-2.408,-2.5081,-2.247,-2.416
5.05,7.4478,4.1425,3.459,-3.6522,-3.0436,-2.8916,-2.3263,-1.8448,-1.292,-2.5647,-2.6106,-2.488,-2.597
5.05,7.6111,4.1749,3.5148,-3.6502,-3.0046,-2.8447,-2.2574,-1.7557,-1.1952,-2.6891,-2.6832,-2.686,-2.736
5.05,7.7846,4.2077,3.5672,-3.6446,-2.9508,-2.7825,-2.1722,-1.6514,-1.0827,-2.7834,-2.7276,-2.861,-2.854
5.05,7.9709,4.2409,3.6173,-3.6351,-2.8891,-2.7128,-2.0799,-1.5404,-0.9637,-2.86,-2.7585,-3.012,-2.953
5.05,8.1735,4.2744,3.6652,-3.6207,-2.8208,-2.6368,-1.9821,-1.4244,-0.8398,-2.922,-2.779,-3.138,-3.029
5.05,8.3974,4.3084,3.7112,-3.6004,-2.7486,-2.5574,-1.8821,-1.3064,-0.7142,-2.9731,-2.7933,-3.254,-3.094
5.05,8.65,4.3428,3.7558,-3.5633,-2.6715,-2.4739,-1.7801,-1.1876,-0.5876,-3.0094,-2.7968,-3.357,-3.145
5.05,8.9546,4.3781,3.7987,-3.488,-2.5882,-2.3843,-1.6719,-1.0621,-0.4537,-3.0358,-2.7925,-3.456,-3.191
5.05,9.3715,4.4149,3.8397,-3.3853,-2.4873,-2.2741,-1.5362,-0.9068,-0.2874,-3.0491,-2.7672,-3.308,-3.023
5.05,9.9755,4.4543,3.894,-3.3807,-2.4144,-2.1922,-1.4309,-0.7832,-0.1537,-3.0833,-2.7658,-3.43,-3.103
5.05,10.5505,4.4584,3.8866,-3.2934,-2.3754,-2.1529,-1.3909,-0.7421,-0.1123,-3.0513,-2.7325,-3.409,-3.074
5.05,11.6715,4.4723,3.9688,-3.2696,-2.5145,-2.2897,-1.5221,-0.8679,-0.2355,-3.2231,-2.8962,-3.625,-3.257
5.05,12.7472,4.4879,4.0761,-3.3204,-2.7146,-2.4876,-1.7152,-1.0551,-0.4201,-3.4574,-3.1241,-3.897,-3.517
5.05,14.1137,4.5062,4.2035,-3.3362,-2.9569,-2.7285,-1.9533,-1.2877,-0.6507,-3.7336,-3.3974,-4.194,-3.818
5.05,15.7276,4.5251,4.3364,-3.4054,-3.2086,-2.9796,-2.2041,-1.5342,-0.8963,-4.0135,-3.6776,-4.501,-4.124
5.05,17.3607,4.5419,4.4551,-3.4183,-3.4271,-3.1978,-2.4236,-1.7511,-1.1129,-4.2525,-3.918,-4.753,-4.363
5.05,19.8064,4.5633,4.609,-3.4227,-3.6937,-3.4639,-2.6917,-2.0167,-1.3786,-4.5419,-4.2073,-5.084,-4.635
5.05,22.7932,4.585,4.7673,-3.4445,-3.9524,-3.7215,-2.9502,-2.2729,-1.6346,-4.8218,-4.4844,-5.378,-4.902
5.05,27.1088,4.6099,4.9546,-3.5084,-4.2464,-4.0132,-3.2405,-2.5601,-1.9204,-5.1393,-4.7957,-5.666,-5.19
5.05,32.0658,4.6325,5.1279,-3.6077,-4.5182,-4.2826,-3.5072,-2.824,-2.1825,-5.43,-5.0804,-5.897,-5.417
5.05,38.1236,4.6536,5.2977,-3.6647,-4.8048,-4.5682,-3.7914,-3.1066,-2.4645,-5.7278,-5.3762,-6.128,-5.637
5.05,46.8404,4.6762,5.4889,-3.6901,-5.1656,-4.93,-4.1545,-3.4708,-2.8304,-6.09,-5.7433,-6.404,-5.904
5.05,61.2485,4.7019,5.7209,-3.8297,-5.621,-5.3866,-4.6122,-3.9296,-3.2911,-6.5463,-6.2048,-6.966,-6.652
5.05,76.4015,4.7199,5.8993,-4.025,-5.9667,-5.7317,-4.9552,-4.2717,-3.6328,-6.899,-6.5559,-7.336,-6.99
5.05,93.2913,4.734,6.0511,-4.1144,-6.2628,-6.0267,-5.2476,-4.5628,-3.923,-7.2027,-6.8564,-7.652,-7.277
5.1,0.1027,3.5064,-0.7603,0.1004,9.5069,8.8319,6.6467,5.8223,5.5594,17.4874,13.0142,33.0,22.277
5.1,0.1197,3.5135,-0.6492,-0.3419,9.1176,8.4347,6.3501,5.5615,5.2792,17.1368,12.6554,33.0,22.071
5.1,0.1432,3.5222,-0.5039,-0.3936,8.6443,7.9537,5.9758,5.2235,4.9105,16.7016,12.2234,33.0,21.795
5.1,0.1742,3.5328,-0.3507,-0.5034,8.1451,7.4467,5.5876,4.8742,4.5214,16.2297,11.7677,33.0,33.0
5.1,0.2092,3.5443,-0.2182,-0.6536,7.6868,6.9838,5.2523,4.5801,4.1889,15.7833,11.3394,31.334,17.84
5.1,0.2456,3.5556,-0.102,-0.7415,7.2567,6.5557,4.9543,4.3231,3.9029,15.3537,10.9151,31.156,17.663
5.1,0.2968,3.5716,0.0404,-0.921,6.6847,5.9997,4.5794,4.0075,3.5673,14.7497,10.2853,30.961,17.468
5.1,0.33,3.5809,0.1151,-1.0333,6.3674,5.6988,4.3762,3.8395,3.4031,14.3796,9.8849,30.315,16.053
5.1,0.3873,3.5965,0.2444,-1.0378,5.8217,5.1921,4.0202,3.5422,3.132,13.6072,9.1278,30.148,15.886
5.1,0.4572,3.6147,0.3728,-1.0811,5.2445,4.6724,3.6553,3.2442,2.8888,12.3406,8.2262,29.427,14.644
5.1,0.5611,3.6378,0.5345,-1.053,4.5514,4.051,3.2013,2.8707,2.5979,10.4819,7.1445,25.65,12.62
5.1,0.7744,3.6626,0.7673,-1.2336,3.7219,3.2846,2.5851,2.3348,2.1472,8.6486,5.9996,22.399,10.662
5.1,0.9497,3.6751,0.9088,-1.0474,3.2651,2.8566,2.2212,2.0093,1.8625,7.8237,5.4017,21.367,9.856
5.1,2.6671,3.7157,1.5806,-1.4845,1.3204,1.0031,0.5444,0.4452,0.4172,4.9937,3.0701,16.612,6.635
5.1,4.86,3.7441,2.2904,-2.177,-0.5997,-0.854,-1.1992,-1.2304,-1.1821,2.7212,1.0221,12.798,4.083
5.1,5.4142,3.7833,2.5502,-2.9284,-1.4166,-1.5869,-1.7755,-1.7221,-1.5734,1.4898,0.113,9.226,2.494
5.1,5.6261,3.8181,2.6452,-3.2677,-1.7757,-1.8807,-1.9283,-1.8077,-1.5711,0.8765,-0.2297,6.83,1.688
5.1,5.8122,3.8524,2.7345,-3.3523,-2.0982,-2.1434,-2.0497,-1.8712,-1.5492,0.4038,-0.4848,4.927,1.084
5.1,5.98,3.8845,2.8192,-3.4197,-2.383,-2.366,-2.1428,-1.9174,-1.524,0.0104,-0.7163,3.125,0.512
5.1,6.1365,3.9159,2.9017,-3.4757,-2.6048,-2.5427,-2.2158,-1.9491,-1.5004,-0.3857,-0.9747,1.416,-0.067
5.1,6.2829,3.9468,2.9812,-3.5246,-2.7496,-2.6599,-2.2639,-1.9606,-1.4774,-0.7755,-1.2422,0.17,-0.604
5.1,6.4227,3.9774,3.0579,-3.5622,-2.8424,-2.7354,-2.2951,-1.9571,-1.4529,-1.1462,-1.5079,-0.553,-1.051
5.1,6.5594,4.0082,3.132,-3.5903,-2.9021,-2.7838,-2.3133,-1.9423,-1.4247,-1.4884,-1.7693,-1.05,-1.429
5.1,6.695,4.0391,3.2029,-3.6154,-2.9377,-2.8109,-2.3163,-1.9149,-1.3877,-1.7832,-2.0032,-1.448,-1.755
5.1,6.8292,4.0702,3.2698,-3.6308,-2.9524,-2.818,-2.3014,-1.8727,-1.3371,-2.029,-2.1961,-1.777,-2.021
5.1,6.9679,4.1018,3.3327,-3.6368,-2.9471,-2.8052,-2.2671,-1.8139,-1.2707,-2.2315,-2.346,-2.053,-2.236
5.1,7.1114,4.1337,3.3919,-3.64,-2.9241,-2.7744,-2.2147,-1.7392,-1.1884,-2.3956,-2.4564,-2.309,-2.428
5.1,7.2618,4.166,3.4478,-3.6384,-2.8866,-2.7288,-2.1473,-1.6512,-1.0928,-2.5258,-2.5341,-2.514,-2.575
5.1,7.4213,4.1986,3.5002,-3.6332,-2.8341,-2.6681,-2.0638,-1.5483,-0.9819,-2.6249,-2.5827,-2.687,-2.692
5.1,7.5919,4.2316,3.5502,-3.6241,-2.7727,-2.5987,-1.9718,-1.4376,-0.8631,-2.7043,-2.6153,-2.836,-2.789
