# Imag Gmag-Imag
# F814W F475W-F814W
# Vega apparent mags
# Bulge region extracted by Charlie
24.84147 1.89699
24.56980 1.97633
24.60881 2.01132
24.76237 1.94757
24.78031 1.86201
24.56804 1.92909
24.51929 1.90280
24.77671 1.83762
25.14471 1.75329
25.09714 1.82009
25.10313 1.81407
25.09460 1.71668
24.79237 1.69776
24.80934 1.61664
24.87865 1.63127
25.09911 1.66499
25.25002 1.75271
25.30578 1.78861
25.20813 1.88802
25.05060 1.92202
24.71932 1.92592
24.05691 2.21963
24.18208 2.03953
24.49129 1.92953
24.72902 1.89229
24.86517 1.92852
24.87486 2.03112
25.05311 1.80345
24.92744 1.78734
24.89679 1.75685
24.50004 2.00161
24.81067 1.81145
25.13565 1.66947
25.01981 1.65678
24.96144 1.66911
24.72717 2.03768
24.55524 2.17221
24.35287 2.32137
24.84863 1.84735
24.68921 2.01943
24.62484 2.12993
24.83289 1.95409
24.77031 1.87090
24.43006 1.88378
24.42463 1.82291
24.86762 1.80044
25.10899 1.91874
25.02504 2.13506
24.71811 2.38970
24.57417 2.43414
24.77560 1.99476
24.71290 1.88761
24.95259 1.67409
25.23183 1.69163
25.19275 1.75485
25.24286 1.66012
24.90765 1.81211
24.97895 1.73757
25.34391 1.69874
25.33047 1.78404
25.26335 1.80432
25.27748 1.79345
25.36304 1.71275
25.21570 1.62995
25.00950 1.65242
25.02982 1.71809
24.92028 1.73406
24.75194 1.60527
24.67720 1.54558
24.75743 1.55495
25.02601 1.58372
25.24541 1.61440
25.21371 1.66261
25.18307 1.71006
25.26565 1.67504
25.32727 1.72689
25.30023 1.72602
25.16676 1.77087
25.07452 1.77546
25.21468 1.71715
25.26661 1.73919
25.13347 1.73991
24.95636 1.73550
24.85036 1.72883
24.83745 1.76382
24.95512 1.78099
25.29648 1.69287
25.37124 1.66694
25.31202 1.67536
25.12358 1.66681
25.16651 1.59470
25.24386 1.62278
25.22288 1.69565
25.26119 1.70071
25.18162 1.78133
25.18391 1.74655
25.36507 1.67598
25.32963 1.67997
25.21842 1.65914
25.27732 1.69115
25.42512 1.67763
25.38251 1.73691
25.20805 1.78334
24.96871 1.75718
24.59104 1.89260
24.73466 1.81319
25.17000 1.67825
25.33783 1.71047
25.25269 1.86171
25.06587 2.03909
24.63166 2.24426
24.29378 2.28845
24.58226 1.98490
24.98947 1.73333
25.17565 1.65520
25.16449 1.72885
24.86385 1.96278
24.68829 2.04692
24.88677 1.98322
24.99084 1.90267
24.96218 1.81416
24.81171 1.91363
24.58987 2.08271
24.80601 1.94249
25.08857 1.80656
25.11730 1.86634
25.10312 1.84537
24.94085 1.79109
24.42882 1.90535
24.55206 1.78067
24.90398 1.63129
25.05038 1.71140
25.27589 1.75613
25.37914 1.78575
25.30320 1.80321
25.10760 1.87101
24.92939 1.87901
24.51844 2.21887
24.60937 2.13539
24.79796 1.97587
24.95473 1.84309
25.10106 1.80492
25.15439 1.84296
25.06560 1.81132
24.79791 1.87804
24.85270 1.80251
24.43254 2.24756
24.77642 2.02522
25.18546 1.75325
24.99874 1.78420
24.93377 1.87642
24.74077 2.25033
24.50992 2.33331
23.97128 2.57411
24.08714 2.36981
24.59900 2.14883
24.86793 2.00275
24.85131 1.93262
24.74188 1.91135
24.19968 2.23276
24.19817 2.15353
24.79270 1.98660
24.95672 2.12117
24.89542 2.26923
24.12719 2.96102
24.06629 2.97740
24.79029 2.10910
24.89723 1.80219
25.05853 1.52754
25.24024 1.60169
25.16868 1.71236
25.23449 1.67653
25.00361 1.88829
25.08846 1.86595
25.35185 1.64674
25.34147 1.68890
25.29728 1.68504
25.26589 1.62146
25.26283 1.57064
24.99696 1.68914
24.72615 1.75138
24.71001 1.71280
24.63619 1.71830
24.37648 1.76653
24.38732 1.71278
24.66591 1.74916
24.95698 1.79347
25.23466 1.69804
25.26675 1.69898
25.25531 1.70485
25.26086 1.65457
25.35293 1.67077
25.40080 1.64564
25.33184 1.71899
25.13975 1.85469
25.10043 1.79565
25.12042 1.75415
24.94809 1.79539
24.64686 1.87298
24.61569 1.88636
24.72575 1.93614
24.83147 1.95097
25.21376 1.71615
25.26078 1.63678
25.22549 1.57484
25.06458 1.61416
24.94692 1.60188
24.88807 1.62897
24.80372 1.71104
24.99954 1.63752
25.18898 1.71241
25.23746 1.72069
25.38240 1.64480
25.37643 1.64063
25.29778 1.67005
25.31879 1.69450
25.44969 1.66188
25.36593 1.66844
25.24020 1.60563
25.06056 1.59524
24.83489 1.68369
24.97083 1.68608
25.23885 1.70829
25.31146 1.75309
25.10040 1.93944
24.77149 2.18594
24.48036 2.43641
24.41996 2.44109
24.66239 2.16569
24.90140 1.81790
25.12701 1.59882
25.23311 1.67205
25.09197 1.89616
25.01179 1.92761
25.18059 1.80739
25.24071 1.78090
25.11844 1.78095
25.07983 1.79447
24.92244 1.98902
24.98757 1.91162
25.05731 1.81153
25.15389 1.73626
25.16493 1.75695
24.97312 1.89706
24.46318 2.18830
24.54192 2.10709
24.88112 1.81763
24.99786 1.70914
25.26060 1.70770
25.33027 1.77212
25.29876 1.74659
25.10763 1.75432
24.95992 1.72752
25.05675 1.74889
25.10322 1.80028
25.09968 1.85387
25.15363 1.85267
25.25972 1.79916
25.28077 1.83522
25.14951 1.81834
24.74634 1.97467
24.86435 1.88978
24.89554 2.07323
25.11557 1.95731
25.30355 1.76150
25.19371 1.76496
25.19278 1.82307
24.99226 2.13936
24.73596 2.27434
24.01544 2.69277
23.96550 2.59316
24.66154 2.11838
25.00163 1.89218
25.07512 1.80392
24.87237 1.78870
24.49732 2.29457
24.47212 2.30475
24.94657 2.04291
24.98998 2.14618
24.91643 2.35300
23.97630 3.26011
23.91522 3.25429
24.79503 2.22454
25.06032 1.72902
25.09250 1.53237
25.23487 1.60088
25.16741 1.73020
25.25596 1.69252
25.24748 1.72173
25.31985 1.67899
25.20493 1.60506
25.22541 1.57286
25.12759 1.65337
25.00388 1.57909
25.01204 1.54324
24.84678 1.65368
24.42085 1.86490
24.20493 1.90356
24.42867 1.81803
24.42704 1.99079
24.57393 1.96270
24.92379 1.84450
25.15760 1.87599
25.34349 1.78637
25.36011 1.74294
25.32252 1.72707
25.25599 1.67854
25.32418 1.64898
25.41795 1.70037
25.36786 1.74327
25.15268 1.86078
24.99713 1.82618
24.81386 1.84685
24.67146 1.88492
24.40480 2.11123
24.55391 2.05487
24.95660 1.88899
25.02626 1.89681
25.19623 1.75973
25.11906 1.66912
25.07861 1.64325
24.97521 1.72308
24.72474 1.79455
24.49881 1.78682
24.25703 1.88671
24.54185 1.77760
25.07530 1.71696
25.23796 1.68188
25.29348 1.64865
25.35064 1.68759
25.38373 1.72195
25.41538 1.69242
25.41875 1.64461
25.28112 1.67105
25.12693 1.57899
25.02718 1.55776
24.91342 1.71094
25.07563 1.71867
25.29086 1.70167
25.20977 1.82165
24.90226 2.07909
24.35040 2.48427
23.93429 2.91396
24.19865 2.73070
24.82919 2.14048
25.00648 1.85445
25.15176 1.59098
25.26534 1.65854
25.25004 1.73661
25.16436 1.70099
25.16630 1.65322
25.20154 1.66780
25.15006 1.67454
25.17927 1.70778
25.13959 1.85084
25.07601 1.88307
24.92066 1.83284
25.00250 1.76684
25.16878 1.70933
25.17469 1.82965
24.96457 2.05759
24.99404 2.00460
25.04982 1.88884
24.95052 1.83376
25.01126 1.74341
25.07926 1.73934
25.15658 1.78953
25.05646 1.80065
24.90379 1.82957
25.08935 1.71409
25.11221 1.70449
25.27347 1.66281
25.36015 1.73528
25.40169 1.78056
25.32598 1.81896
25.22165 1.79610
24.89526 2.02617
25.03843 1.95098
25.30783 1.76903
25.32154 1.76619
25.31581 1.71785
25.28494 1.71171
25.35977 1.72041
25.20950 1.91283
25.04853 2.01417
24.65454 2.27815
24.48107 2.39907
24.77141 2.08160
24.74229 1.96253
24.93477 1.79709
25.08211 1.76521
24.97763 1.87526
24.97936 1.90777
25.15894 1.84585
25.16766 1.99609
25.10681 2.17993
24.66454 2.63913
24.59655 2.56346
25.03662 1.94326
25.13840 1.74336
25.05766 1.71476
25.25812 1.66223
25.31395 1.74224
25.34337 1.72423
25.28718 1.72332
25.24120 1.56311
24.92937 1.62789
24.99422 1.54405
24.90358 1.77353
24.73140 1.78745
24.84876 1.68571
24.76475 1.78379
24.25422 2.08310
23.98678 2.20876
24.45115 2.01230
24.84617 1.92640
25.01182 1.89324
25.14384 1.80153
25.31563 1.73823
25.42467 1.71517
25.41358 1.71507
25.39118 1.78196
25.36526 1.76399
25.34868 1.74108
25.40188 1.70695
25.31016 1.70478
25.05914 1.67734
24.83598 1.71751
