age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.05,3.8396,3.8058,2.4425,-2.1531,-1.1686,-1.2786,-1.3871,-1.3065,-1.1273,0.9966,0.1937,7.008,1.774
5.05,4.1288,3.8653,2.594,-2.7318,-1.7311,-1.747,-1.6107,-1.4231,-1.0869,0.4093,-0.1705,3.883,0.945
5.05,4.5095,3.9117,2.7819,-3.0405,-2.2675,-2.2076,-1.9009,-1.6483,-1.2143,-0.1749,-0.6424,1.296,0.024
5.05,4.5095,3.9393,2.7968,-3.4747,-2.2688,-2.1858,-1.8122,-1.525,-1.0541,-0.3378,-0.7256,0.409,-0.338
5.05,4.6597,3.974,2.8674,-3.1449,-2.3433,-2.2402,-1.8124,-1.4846,-0.9858,-0.6859,-0.9838,-0.396,-0.86
5.05,4.8513,4.0103,2.9458,-3.1303,-2.3839,-2.268,-1.8053,-1.4397,-0.9254,-1.0299,-1.2499,-0.878,-1.213
5.05,5.0464,4.0463,3.0176,-3.1582,-2.3881,-2.2623,-1.7704,-1.3718,-0.8462,-1.3042,-1.457,-1.237,-1.49
5.05,5.2493,4.0823,3.0851,-3.1791,-2.3722,-2.2371,-1.7177,-1.2899,-0.7541,-1.5249,-1.6189,-1.523,-1.704
5.05,5.4627,4.1183,3.1498,-3.1963,-2.3429,-2.1986,-1.6528,-1.1984,-0.6531,-1.7049,-1.7447,-1.774,-1.884
5.05,5.6887,4.1542,3.2129,-3.2112,-2.3044,-2.151,-1.5793,-1.1005,-0.5459,-1.8539,-1.842,-1.996,-2.039
5.05,5.9298,4.1901,3.2747,-3.2244,-2.2589,-2.0965,-1.4993,-0.9978,-0.434,-1.978,-1.917,-2.19,-2.168
5.05,6.1883,4.226,3.3362,-3.2377,-2.212,-2.041,-1.4196,-0.8965,-0.3239,-2.0873,-1.982,-2.363,-2.278
5.05,6.4655,4.2618,3.3972,-3.2523,-2.1644,-1.9853,-1.341,-0.7973,-0.2162,-2.1832,-2.0385,-2.528,-2.378
5.05,6.7624,4.2974,3.4586,-3.2677,-2.1189,-1.9319,-1.2661,-0.7028,-0.1139,-2.2697,-2.0902,-2.681,-2.467
5.05,7.0814,4.333,3.5201,-3.282,-2.0743,-1.88,-1.1947,-0.6136,-0.0173,-2.3435,-2.1332,-2.832,-2.554
5.05,7.4266,4.3685,3.5818,-3.2953,-2.0319,-1.8303,-1.1256,-0.5268,0.0772,-2.4129,-2.1733,-2.977,-2.637
5.05,7.8021,4.4041,3.6452,-3.3122,-1.9948,-1.7846,-1.0577,-0.4403,0.1733,-2.4858,-2.2146,-2.415,-1.975
5.05,8.2045,4.4399,3.7112,-3.337,-1.9692,-1.7501,-1.0004,-0.3645,0.2595,-2.5652,-2.2623,-2.557,-2.098
